x,y,Name,area_m
8.5,-51.5,4,7725535744
9.5,-51.5,4,7725535744
10.5,-51.5,4,7725535744
11.5,-51.5,4,7725535744
12.5,-51.5,4,7725535744
13.5,-51.5,4,7725535744
14.5,-51.5,4,7725535744
15.5,-51.5,4,7725535744
16.5,-51.5,4,7725535744
17.5,-51.5,4,7725535744
18.5,-51.5,4,7725535744
19.5,-51.5,4,7725535744
20.5,-51.5,4,7725535744
21.5,-51.5,4,7725535744
22.5,-51.5,4,7725535744
23.5,-51.5,4,7725535744
24.5,-51.5,4,7725535744
25.5,-51.5,4,7725535744
26.5,-51.5,4,7725535744
27.5,-51.5,4,7725535744
28.5,-51.5,4,7725535744
29.5,-51.5,4,7725535744
30.5,-51.5,5,7725535744
31.5,-51.5,5,7725535744
32.5,-51.5,5,7725535744
33.5,-51.5,5,7725535744
34.5,-51.5,5,7725535744
35.5,-51.5,5,7725535744
36.5,-51.5,5,7725535744
37.5,-51.5,5,7725535744
38.5,-51.5,5,7725535744
39.5,-51.5,5,7725535744
40.5,-51.5,5,7725535744
41.5,-51.5,5,7725535744
42.5,-51.5,5,7725535744
43.5,-51.5,5,7725535744
44.5,-51.5,5,7725535744
45.5,-51.5,5,7725535744
46.5,-51.5,5,7725535744
47.5,-51.5,5,7725535744
48.5,-51.5,5,7725535744
49.5,-51.5,5,7725535744
50.5,-51.5,5,7725535744
51.5,-51.5,5,7725535744
52.5,-51.5,5,7725535744
53.5,-51.5,5,7725535744
54.5,-51.5,5,7725535744
55.5,-51.5,5,7725535744
56.5,-51.5,5,7725535744
57.5,-51.5,5,7725535744
58.5,-51.5,5,7725535744
59.5,-51.5,5,7725535744
60.5,-51.5,6,7725535744
61.5,-51.5,6,7725535744
62.5,-51.5,6,7725535744
63.5,-51.5,6,7725535744
64.5,-51.5,6,7725535744
65.5,-51.5,6,7725535744
66.5,-51.5,6,7725535744
67.5,-51.5,6,7725535744
68.5,-51.5,6,7725535744
69.5,-51.5,6,7725535744
70.5,-51.5,6,7725535744
71.5,-51.5,6,7725535744
72.5,-51.5,6,7725535744
73.5,-51.5,6,7725535744
74.5,-51.5,6,7725535744
75.5,-51.5,6,7725535744
76.5,-51.5,6,7725535744
77.5,-51.5,6,7725535744
78.5,-51.5,6,7725535744
79.5,-51.5,6,7725535744
80.5,-51.5,6,7725535744
-49.5,-52.5,2,7556565504
-48.5,-52.5,2,7556565504
-47.5,-52.5,2,7556565504
-46.5,-52.5,2,7556565504
-45.5,-52.5,2,7556565504
-44.5,-52.5,2,7556565504
-43.5,-52.5,2,7556565504
-42.5,-52.5,2,7556565504
-41.5,-52.5,2,7556565504
-40.5,-52.5,2,7556565504
-39.5,-52.5,2,7556565504
-38.5,-52.5,2,7556565504
-37.5,-52.5,2,7556565504
-36.5,-52.5,2,7556565504
-35.5,-52.5,2,7556565504
-34.5,-52.5,2,7556565504
-33.5,-52.5,2,7556565504
-32.5,-52.5,2,7556565504
-31.5,-52.5,2,7556565504
-30.5,-52.5,2,7556565504
-29.5,-52.5,2,7556565504
-28.5,-52.5,2,7556565504
-27.5,-52.5,2,7556565504
-26.5,-52.5,2,7556565504
-25.5,-52.5,2,7556565504
-24.5,-52.5,2,7556565504
-23.5,-52.5,2,7556565504
-22.5,-52.5,2,7556565504
-21.5,-52.5,2,7556565504
-20.5,-52.5,2,7556565504
-19.5,-52.5,4,7556565504
-18.5,-52.5,4,7556565504
-17.5,-52.5,4,7556565504
-16.5,-52.5,4,7556565504
-15.5,-52.5,4,7556565504
-14.5,-52.5,4,7556565504
-13.5,-52.5,4,7556565504
-12.5,-52.5,4,7556565504
-11.5,-52.5,4,7556565504
-10.5,-52.5,4,7556565504
-9.5,-52.5,4,7556565504
-8.5,-52.5,4,7556565504
-7.5,-52.5,4,7556565504
-6.5,-52.5,4,7556565504
-5.5,-52.5,4,7556565504
-4.5,-52.5,4,7556565504
-3.5,-52.5,4,7556565504
-2.5,-52.5,4,7556565504
-1.5,-52.5,4,7556565504
-0.5,-52.5,4,7556565504
0.5,-52.5,4,7556565504
1.5,-52.5,4,7556565504
2.5,-52.5,4,7556565504
